,uid,iid,rating,ts
52684,352,880,2,882580301
77808,914,1374,3,879938593
34930,707,1042,1,889275669
46501,881,874,4,875143750
74757,726,956,5,879313848
70413,724,1293,2,875160480
4863,655,1449,5,885362289
17802,732,1653,1,875678815
65682,92,1515,4,880090992
52391,597,1424,4,880154111
75423,710,1134,3,880842558
13466,571,1655,3,882753288
78982,301,822,3,879751125
72085,314,1522,5,879914885
64340,234,1307,3,891678542
26094,622,1069,4,880413822
61365,996,1376,5,892370523
61752,601,1477,3,882711182
45990,409,1528,3,891399286
83331,124,1189,5,879796524
59974,334,1156,4,880681852
31901,563,1049,4,881370515
60632,729,908,4,886217706
62700,574,680,4,879810872
72125,96,961,4,880103848
70668,169,1617,4,891723018
32209,524,1514,5,883733189
30521,434,1220,4,882017641
56299,766,1575,3,892703909
46786,297,1242,3,875611105
31540,492,1527,4,884135310
65488,111,748,3,880546581
369,921,1192,3,891639846
710,777,1378,4,891917090
32995,688,1268,5,892067661
58717,138,1502,5,879672654
43882,864,1573,5,883061574
4463,870,957,2,878905948
72032,465,1425,4,879987347
53039,706,869,3,889610712
9795,806,1602,4,879889499
56247,702,1568,5,884551136
32622,571,867,3,882755065
79411,331,1678,3,891885329
34312,680,940,3,885117116
30804,698,712,2,879805045
67106,118,771,1,880231346
10185,646,1551,5,891584668
11747,814,1600,4,879391285
73671,575,1257,2,879107126
70327,306,1043,4,876097122
26263,544,1177,4,881741523
77,763,1206,4,879744723
68644,116,1319,5,877227921
27361,724,1549,5,875154738
39148,797,1442,3,880801538
30385,703,1689,4,875608185
21038,787,1478,3,879238960
25092,884,812,2,886678128
29069,546,1642,4,882328199
5874,731,1428,3,891813927
16033,546,1282,3,888635298
23744,496,1298,4,888208005
9518,601,1241,4,882708977
78839,310,919,2,881545832
40254,318,582,3,888889881
60659,273,1533,2,884081589
59133,668,1269,5,888728582
67479,150,1618,5,883563120
62227,227,333,5,888906813
1824,703,1008,3,875607188
13352,898,1065,2,889171318
2350,695,753,4,886691008
868,993,1432,3,891718873
82641,721,666,4,875665551
66855,729,1051,3,886217680
25673,828,928,1,875905269
30749,555,1677,3,891355635
65272,60,1411,3,885169314
26951,904,1462,4,884771420
25565,703,1583,4,875322667
79716,111,1631,3,880547955
79953,595,1032,1,885916445
20699,621,1239,4,880893201
19726,849,1175,4,879896740
40852,399,1515,4,876717747
84196,599,1601,4,891401752
13900,658,1413,3,875352789
50315,204,1160,2,893416842
72252,221,1372,4,875869504
47262,855,654,4,888766872
27861,692,1604,4,888105602
43570,891,945,5,880946984
43689,540,1424,5,883280588
29199,513,665,4,884412499
59558,114,1632,3,876400592
64718,318,757,3,888889034
67906,167,1058,3,875406796
56395,687,1211,4,891385542
76197,154,1333,4,884317291
9504,686,1636,5,878256516
62857,550,416,3,887507764
80566,918,1582,3,879136680
71284,304,574,3,886772787
26426,467,1397,4,893529114
39833,756,1465,1,880973080
25315,528,1412,5,876345852
36607,647,1455,4,891770575
14895,766,1297,1,892703844
76301,467,1411,2,880141467
28672,549,1364,4,879380981
114,987,1220,3,881883363
44969,438,1482,4,879564746
19128,707,1122,2,889276083
6734,940,1040,4,883695413
1710,898,1478,3,889169576
10254,724,520,2,878303476
37788,542,1422,2,886763639
11928,997,1393,3,889605394
21436,709,1669,4,875202938
796,810,1553,4,891402033
10663,777,958,3,891917740
30317,908,963,4,876022295
57645,358,1606,2,885974079
8400,607,1161,3,891732927
76208,152,1205,2,887407188
78256,285,1524,5,876331962
24939,941,1268,4,888572972
63721,226,1016,1,888925499
2644,761,1412,2,889546683
60185,175,830,3,881300102
67842,938,961,2,879743624
39210,528,1446,4,876346361
26091,813,1486,4,879833802
8246,664,958,3,878128098
49371,387,1191,4,891595406
53028,911,964,3,879828197
64219,136,1318,3,889255607
60082,114,1468,3,876401143
66559,175,775,4,881125074
9084,915,1360,3,893478090
42120,941,652,4,888571440
27854,649,1022,4,879849845
9018,611,170,2,880456923
6576,869,1686,5,884049483
65749,433,1477,4,882794678
9529,647,1414,5,891770927
14688,583,1505,5,880015550
35179,924,1644,5,875395909
66054,310,920,4,881546080
58829,205,1146,3,883622972
28267,879,1450,2,891756846
14254,583,1568,4,880016020
22068,500,653,3,884234155
62371,133,1490,5,880446717
60861,234,1132,2,891678483
21213,519,611,3,886196242
61091,381,892,3,886322223
38598,475,1104,4,881454365
56367,468,867,4,888997974
46062,674,1037,1,880245329
83017,336,1543,3,876892901
75822,119,1146,1,876907806
58350,334,1431,5,880682734
54224,273,1579,4,884077688
51591,227,1466,2,888908449
24327,594,1226,5,884998724
14183,776,1649,4,888472627
61788,256,1043,5,881538745
4623,655,1192,4,885269170
76296,141,419,3,886143107
2953,703,1225,5,875322596
39493,543,1298,4,882916753
75350,593,1546,5,875485134
14435,940,1284,4,883695809
37898,496,1173,4,888206794
61518,449,1104,5,893152219
77173,497,1634,3,880751638
16023,984,1505,5,878088468
58247,990,1508,4,878260136
62670,662,1520,4,879806675
51747,195,1124,4,882063210
83076,194,1572,3,882756589
55338,193,1250,4,893451101
10416,657,1570,3,876772053
46752,654,1297,3,875318553
16155,810,805,3,891401497
58357,565,815,3,887877566
34545,687,1514,3,891385181
47601,400,1528,4,888819835
783,978,1244,1,879255583
83854,249,1163,4,889502176
19260,670,1343,4,876914609
61484,807,1414,4,889491076
4194,652,772,5,886891853
27272,465,1526,4,879985917
77551,687,1519,4,891382952
73974,103,1462,4,880358949
83415,463,1270,3,886399467
73446,503,1035,2,879679136
84303,226,582,3,888924217
20474,730,987,5,877322292
19166,619,1621,3,893064166
10687,724,1632,4,875160653
74199,327,1400,3,889155112
6021,826,1123,1,886883465
30251,463,1243,1,886397614
51829,784,1234,4,880602517
41521,345,1081,3,887798916
67230,630,1310,1,879802757
7217,881,1591,5,875143750
8639,924,1375,2,878469284
77152,778,1610,2,878549817
68669,819,1594,2,879331337
52551,402,1442,5,887079622
25683,637,1252,5,891866123
80209,961,1412,5,891768874
55588,755,1490,3,888881196
45046,305,1399,3,889174290
66218,247,1458,4,891767647
65202,243,1478,4,888812570
45591,559,1579,4,891403659
81065,213,29,1,889348363
75613,265,1381,4,877065817
73710,242,1410,5,882346665
34521,948,1442,5,883290235
45276,510,1563,3,875795909
56219,222,1496,4,891094688
39111,778,1007,4,878552684
51610,550,179,3,883180520
69683,381,1604,5,886322253
83666,475,1407,3,881454278
84010,303,1424,5,882990675
71993,627,1171,4,877474071
56019,144,1022,3,891857836
1341,856,973,3,888473935
16076,550,1313,5,882744616
37737,815,1584,4,883894438
71660,712,1524,4,886741735
12030,681,1433,4,876075860
28784,994,1441,1,883636545
75332,345,1693,3,887794139
69877,210,1115,2,885525856
76327,153,1549,4,879144084
10945,990,1466,4,878257047
68837,244,1529,4,875195232
43404,383,1203,3,884156952
79570,654,1040,2,875317149
21821,999,1637,2,878911366
42538,352,1696,1,885249816
34840,565,1308,3,884499574
81351,244,1449,4,875497408
1253,743,1424,5,882418143
66900,543,1478,5,882761023
47690,301,1415,4,879516220
19958,721,1302,4,875678934
14165,705,1058,4,879886113
80662,315,1367,1,879819317
716,898,1124,2,889170892
80185,137,824,2,889657627
46194,856,1068,4,888473642
15939,588,1527,5,880085819
68034,61,1224,5,880630144
15029,737,1086,3,891666962
22639,507,1289,1,884501104
44598,370,1105,5,886035830
30311,595,147,1,885916802
39203,884,1479,4,876821730
21156,672,1301,2,885417575
16610,717,1506,4,879666465
69084,337,1463,4,889860643
61650,531,1193,5,879891973
2553,706,633,4,878187591
46762,394,1484,5,881293749
14715,680,805,4,885116516
12492,953,1408,4,879807154
67284,526,1045,5,888292253
59113,132,1252,2,877478571
74397,125,1046,4,876833400
72375,528,485,4,876347732
48685,687,1298,3,891399917
66478,82,1425,4,892355346
67285,820,1647,5,877810295
48014,508,1566,3,880337814
444,765,1189,5,890023332
4833,695,1343,5,886691359
1921,992,1621,4,879730456
34015,692,1565,5,888105413
59008,452,1497,5,891412616
66133,361,1045,3,891607576
84635,395,1154,2,879797899
1696,906,1621,4,886251137
52840,609,1466,4,877767625
46435,390,1583,4,889072170
72460,261,949,3,887193253
78906,104,506,3,887526774
25713,746,1022,3,886839029
46890,259,610,1,891824050
56951,306,1470,4,876095313
57058,196,1441,4,879808870
41172,910,1204,4,891753957
6824,670,1425,5,876912536
41425,732,869,3,876112527
16248,550,1517,4,882762350
50129,504,1432,4,876431954
43828,568,1699,2,889784153
65095,987,789,2,892383311
57666,149,568,3,876098927
7202,948,1413,5,883290527
56268,745,1154,3,883585072
15783,779,1239,4,875613744
21028,566,1425,3,887092803
70262,357,1071,3,891818338
84436,92,1477,4,880091123
65109,129,1487,3,888561556
49030,227,1061,4,888907101
61558,245,819,1,882937902
65056,78,1451,3,891823420
41123,310,1620,3,881545948
38558,599,1526,4,891400973
1689,688,1602,4,892066470
46642,463,1205,2,886399848
55116,204,1283,4,893587103
9862,710,1473,2,880841727
48914,891,1021,3,880946263
69185,111,1530,4,880546164
10389,944,1484,4,893045055
29331,986,1272,4,879487667
37677,418,1519,4,883329471
66668,104,1513,5,887526094
2296,811,1006,4,893634116
63443,426,1356,5,891647132
32083,448,836,3,879590046
67186,473,1039,5,879824356
80670,303,675,2,882989693
48509,744,1482,3,882532897
80452,400,1122,2,888820009
63801,446,1696,2,876737730
29635,496,1649,4,888207430
68220,472,1273,4,887181274
33797,975,1569,4,886220781
44439,312,1022,5,884521920
52105,534,1602,3,890653932
56867,392,1493,5,880773145
78966,120,1223,3,880535136
15435,944,1693,5,893047609
32440,618,1189,4,876314900
12486,591,1486,4,881477386
25931,645,1414,5,879853593
2096,724,1450,4,875154954
67523,84,756,2,881213646
29243,595,1303,4,885916264
4064,987,1198,5,882509628
64018,956,1180,5,878716044
68999,196,1540,4,879810877
58786,149,684,5,892329834
23984,494,1628,3,875242972
78403,584,1180,5,893582395
4104,787,1689,4,879324326
52952,259,1618,3,891386570
27401,993,1522,4,891719102
25438,806,1691,4,879903874
9772,938,1520,4,879742154
80844,104,1232,2,887527036
79925,884,1374,2,876821546
59102,709,926,3,875236022
85174,422,1432,2,891307867
9175,987,1481,1,882765125
60928,118,1685,5,880230311
31967,530,1415,3,879546789
49366,864,1685,4,883061893
34430,799,950,3,884478768
36913,439,1481,1,886177753
45096,290,1500,4,882431963
16294,615,758,2,879814378
3026,941,1036,4,888573784
66269,98,1566,3,879833693
13340,859,1580,4,884953717
35830,500,682,3,884243926
1160,910,1689,4,891752283
32667,526,1479,4,888996214
52020,602,1177,4,876085949
83574,944,609,2,893105380
1291,819,354,1,879330256
44280,288,1301,5,875325042
34142,379,1519,5,875333578
66699,117,1245,4,892284581
22373,987,845,4,882508300
62667,118,1008,4,880235801
17351,910,1091,5,891752527
17605,563,1486,4,880509211
52453,253,558,4,889101122
70918,318,962,3,888890191
78433,822,877,2,883192762
12459,806,1675,2,879908977
42308,431,1685,4,880162435
22346,659,675,5,891126131
290,941,998,5,888573633
7037,951,1557,3,888435896
48297,329,1109,3,883914503
6411,881,1315,5,875150164
16247,721,1427,2,881237188
63270,350,1515,3,891738006
44978,467,1277,5,889213076
2911,787,1226,2,879323805
38216,477,766,4,884070772
71725,267,615,4,879904777
29489,738,1214,5,880162466
11504,968,684,1,884086291
17782,619,1093,4,893064300
78062,512,1621,4,891662504
73731,621,1603,3,882931922
9076,975,1692,4,886220320
48303,951,1518,3,888437586
15624,705,1265,5,879887726
11425,993,1025,5,891721117
57454,550,983,4,888203123
66485,340,1372,3,891565755
67470,345,965,3,887795508
68943,502,1183,4,882325523
34589,929,1686,5,877687545
54035,601,1157,3,882878141
34473,977,1609,4,884918219
44510,382,1424,3,891677436
63284,77,873,3,880756167
56022,595,923,1,885916445
19317,613,1696,3,886851139
38280,657,1650,5,876770984
59488,111,1635,4,880548987
41427,565,1669,5,884499327
84431,196,751,3,879813424
50162,440,1382,4,880343576
3491,760,1400,3,886143733
969,793,1232,4,877492976
8490,797,1081,3,880802608
53634,524,1400,5,883733731
30748,455,1556,3,880267295
55816,162,1203,5,887435332
17311,595,634,1,885917281
25697,751,1699,4,879940380
33774,467,1686,3,879560752
26997,998,1413,3,888919405
21996,583,908,4,880016249
9229,733,757,4,879341073
16709,911,1487,4,879828029
66452,301,1177,2,879251208
16217,724,824,3,885905887
64027,416,1470,4,886142341
73750,618,1204,3,876315115
43079,345,1414,3,887793001
39438,386,1421,3,879832457
42728,337,715,3,889861380
62152,560,951,3,891915916
76895,85,1379,3,891398172
1015,743,1442,3,879397686
150,791,1292,4,883785687
84889,66,1466,2,891560045
35381,541,1436,4,879929925
67896,473,1546,3,879823984
11385,941,1153,3,888571652
2427,673,738,3,888188715
12664,675,1512,2,891847114
35828,894,1425,4,884245389
14673,614,1693,3,878023198
73258,307,1118,2,875850647
18397,617,1061,4,891561351
5083,773,1424,4,879403421
85162,97,1693,2,891399429
14305,999,1633,3,877261224
45590,521,1589,4,879828493
64647,110,1442,3,882772225
65269,681,1342,3,890184403
71073,205,1443,3,881620172
75844,626,1461,4,880764792
76455,104,1477,4,887527000
61294,361,1151,2,891607597
30630,408,731,4,883324888
50050,292,1679,1,877693486
60933,177,1008,4,878807608
58511,183,1571,4,875184006
7486,779,1572,3,875614379
44694,666,990,3,891916465
84079,844,1691,4,888553905
22664,809,809,3,891928651
81366,214,1521,4,883211670
42946,307,1045,3,875850774
40779,841,824,2,893624075
67232,423,1290,3,880839340
44310,611,503,3,880533834
75118,855,1474,1,875640366
17461,654,1568,4,875629405
75,714,1011,5,884951719
41929,526,1532,3,888295840
62721,984,1501,5,878087815
26665,622,1297,4,880414578
51127,324,1348,1,893054045
7439,940,1602,4,883694633
31482,932,1675,4,877342346
9274,883,1557,1,881380642
65592,68,991,4,891619565
53771,251,857,3,879217168
16435,605,1636,5,884132128
23289,921,794,5,891639962
43257,841,1072,3,880854241
3504,692,1225,4,888105363
53098,987,1098,4,884906804
78125,607,1316,3,890097678
30112,463,1431,3,886396616
83418,113,1582,5,881746459
43187,340,665,2,891569286
30970,607,1445,4,888112498
74724,288,906,4,875325413
69606,721,1250,4,889694331
84145,160,1286,4,891572705
51252,501,1502,5,885967852
21848,706,1337,1,889611563
58165,168,1019,2,888628154
45385,439,720,3,886177316
47826,262,1605,4,875718292
21618,541,1418,3,879931165
63347,119,1222,4,876905782
60600,316,1651,4,879130413
12575,652,1685,4,886891500
47076,352,1270,5,885249733
6887,646,1432,4,891548569
83996,432,1509,4,878275296
19034,822,1524,4,883194952
20746,672,1430,2,885412811
50160,202,712,3,875663639
54767,849,1530,5,879892839
16692,673,1356,4,888112337
47904,565,1060,4,884501043
54604,236,1524,4,876613026
26467,584,980,4,886686298
67340,380,1672,4,890356291
46668,357,1505,5,891815233
48137,227,1673,1,888908388
7774,962,1555,1,892801232
16694,606,1603,4,881256393
65080,687,1463,2,891384927
75094,345,959,3,887794371
59370,463,1604,3,886399746
13620,602,1199,3,876027068
42764,440,686,4,880344385
54719,375,1295,3,891642029
61269,136,1351,4,888054558
76361,923,1508,3,885121070
38406,459,1268,4,884242886
23498,929,1525,4,885385052
35615,457,1515,4,876031149
362,951,1552,1,888436365
78130,784,1635,4,880602109
1618,898,1141,3,889171222
10230,919,1576,3,876902764
85241,999,1641,5,877260987
57426,463,1674,3,886400083
75396,575,478,2,879106927
38220,632,1517,5,890151848
58744,856,1691,5,888472361
57663,415,1066,4,891653661
75208,120,1572,3,880535976
56214,243,1277,3,888813449
78683,532,1635,3,875662719
28096,571,590,2,882755404
15686,742,952,5,886069174
41673,556,1691,5,890615457
83954,546,1629,3,888634924
64708,68,1021,2,891619708
33153,468,1505,5,892889724
82720,438,574,4,879564215
51219,202,1584,3,875922951
824,739,1378,4,890823144
43357,373,1416,2,879898476
767,892,1687,3,880248004
26512,514,621,2,880243517
25989,610,958,4,880062368
33704,494,1525,5,875241497
56213,286,1400,5,893146205
32588,449,745,3,893151581
31834,673,1677,4,888113633
62585,109,1420,3,883857816
50778,405,1342,2,887288884
44784,266,1496,4,891391108
25554,500,1528,2,884241810
13133,982,1687,5,880499667
38394,987,1043,4,882507999
64368,172,1191,2,891404800
38126,826,1154,3,886882493
24160,492,1512,4,884135495
52811,205,1481,3,883620274
56521,210,992,3,885526252
16900,943,1402,3,884065463
47466,286,1223,2,893145578
48216,346,1629,3,888232780
16192,936,1696,3,890107308
37730,994,1391,2,883636600
54046,288,1279,4,875098105
85111,388,1457,2,875692525
20819,637,1231,2,891864247
39051,479,871,2,884844338
25855,855,1321,3,875640469
84016,793,1655,3,878472739
50775,357,1668,4,891815629
48587,318,866,3,888891141
9251,622,1235,3,881950438
59761,407,1229,3,876027996
76267,500,565,3,884243731
65572,113,1442,1,881746063
14270,819,1554,1,879331125
1193,737,1177,5,891666277
29222,575,1556,4,879106505
67600,898,1150,2,889169982
76442,81,1328,3,876289118
9528,787,1072,5,879238818
16279,664,602,3,878125960
56946,336,1112,3,878460739
85018,494,1211,4,875244821
76902,844,1220,5,888553776
49167,560,1390,3,891914801
19924,939,1396,4,891589054
27045,549,705,1,879380891
78172,941,1320,3,888574126
44434,453,1368,3,891650851
66702,262,1271,3,875721983
33547,591,1487,4,881475920
36145,370,829,2,886035088
7228,856,938,3,888473110
19275,584,770,3,879246984
16806,584,1646,5,893581099
40230,345,282,4,888842816
63277,154,1565,4,884315864
78049,103,1284,5,880359356
45013,464,1512,3,882727925
37722,803,1393,3,891777493
81354,238,1279,4,879087764
52971,906,654,2,892091432
62537,81,913,3,876289453
72937,224,1519,4,891997086
72540,284,1689,4,880163960
22747,596,1352,3,884158570
61814,138,1221,4,879673521
76334,449,261,5,893151782
13057,686,752,3,878254199
504,908,919,3,876275819
46031,524,429,2,883732603
69017,113,621,1,881746943
33054,383,1135,4,884157805
3756,674,968,5,880245313
60310,521,1174,4,879829548
12438,814,1362,3,890186501
79883,84,1645,3,881212539
70971,287,818,3,889250158
21979,543,1245,4,882761554
37553,563,1610,3,880511459
64463,347,1174,3,880519922
3919,941,1566,5,888573011
4477,852,688,4,877768324
67640,108,1315,3,886976170
83014,75,1440,3,885085839
65382,58,1273,5,891651187
49054,855,691,2,875638934
5106,908,866,1,876275052
64357,294,1519,4,881365275
25457,729,1098,3,886217056
10183,599,1501,3,891401066
7170,766,1490,3,892701786
46607,445,1579,3,880330721
39123,540,1699,2,883279373
33154,397,769,2,892324885
28358,966,1408,5,888970912
33248,394,1490,3,881292727
37514,468,1250,2,875164591
73889,85,1367,3,891399620
56199,162,1389,4,887428829
25305,593,1409,4,876716851
46206,803,478,3,891778252
57332,622,1527,5,880425258
31584,477,1492,5,884070379
41979,941,1502,5,888572559
49787,284,1569,5,880164481
55429,275,1400,4,876474899
50173,543,1693,4,882761448
36891,707,652,3,889273204
25153,709,1309,1,875203412
68358,110,1558,3,883284820
55392,612,1109,4,886805209
5926,744,660,3,882520774
75005,66,1095,4,891563458
3241,656,1603,3,885269326
56955,435,1238,4,891405862
69363,513,954,4,883897710
3111,749,1442,3,886639666
68947,345,52,2,892185605
16159,731,1202,4,891817096
9657,595,1108,1,885916840
53648,505,492,4,889004202
68564,71,1677,3,881185851
65334,99,1504,4,877657034
80966,210,1696,3,885524943
55936,501,1583,3,885967416
21114,819,711,1,879329950
70803,345,616,3,889181442
39776,627,1605,5,877467433
44520,627,1498,3,877467522
65524,148,1295,3,891405432
14121,654,1647,1,875631671
69107,303,688,1,882990994
71738,545,1450,3,879478136
39804,468,1674,3,888997529
27481,477,1151,4,884071314
16010,856,1540,2,888474351
19587,646,1313,4,891675350
61189,104,1652,4,887526805
66003,322,1685,3,879912619
42345,362,1459,3,877063387
4408,693,1531,5,879651795
29480,424,875,4,887354474
16970,599,1475,1,891400644
18484,594,965,3,884998724
64669,646,1479,4,891584958
59611,482,1594,5,877191974
15666,571,1567,3,882753833
33597,476,1414,5,884655549
42618,503,1155,3,879731403
43427,816,1360,5,890275075
17639,678,1636,5,887682318
52604,345,1049,4,887932783
25230,680,1621,4,885117425
8524,813,1525,2,879833411
2797,697,433,3,879852497
14808,782,1696,3,877856716
58499,230,1549,5,876341250
34634,378,1689,4,883037910
5914,800,1122,5,884498255
81967,360,1608,4,875146685
4089,917,1377,4,884236590
14269,756,962,4,880975659
16235,704,1611,5,884565522
40939,383,1131,1,884157707
71398,729,1691,4,886215908
78667,146,474,4,883182741
71462,992,1478,5,879730526
77876,563,1544,2,880508797
66430,119,1251,3,876907719
11310,697,652,4,879853041
76415,355,1604,3,892422614
40868,802,1627,3,884576589
73154,215,1412,3,879806707
83671,802,1230,3,884576741
45587,421,1374,3,881319664
73793,125,1204,4,876833314
42599,464,954,5,882728008
67899,146,1412,5,883182741
4095,957,1475,2,876343749
68106,264,611,1,879077357
31171,724,1511,4,875345725
25289,465,1535,4,879985783
18153,529,1560,5,890196088
65933,168,827,2,888628154
3064,924,1442,3,875395376
60160,188,1406,5,877993537
48408,500,1419,3,884233633
84721,262,1696,4,875719656
32635,500,1504,4,884243005
56391,218,189,2,891868364
14063,784,1343,4,880601805
31089,434,1458,5,882017443
60560,302,1052,4,886735270
1596,891,855,4,880939854
2309,824,1395,5,886415238
39280,905,472,3,880940859
75391,463,1386,1,886397409
83440,778,555,3,878553307
32261,595,1485,5,885913433
37450,673,1550,4,888112526
54844,242,1509,5,882344023
46812,382,1016,3,891675161
36314,816,639,3,890276434
70289,281,1244,1,879741899
42693,584,1305,2,886687790
72710,385,1398,4,879815670
79901,62,1294,3,891725230
78831,352,1104,3,882579589
57044,526,1387,4,888282785
60707,791,614,4,883785837
77356,413,1019,2,893239811
46377,474,1225,5,886050805
65857,333,1621,3,891403100
80126,380,958,5,890355962
68255,284,858,3,880165016
69526,131,1431,4,884861449
62954,347,1297,2,880519631
40003,595,892,1,885914657
44764,591,1093,5,881475867
18553,622,177,2,880702237
29683,595,222,1,885914806
15436,635,958,3,891672209
74776,236,1425,4,876611021
49121,345,1016,3,887842135
67827,242,1675,4,882345839
68719,147,1012,3,879733339
15967,571,1538,4,882754548
4429,659,823,3,891126283
7133,751,1526,4,879940484
82124,128,1549,2,888847604
68251,526,1029,3,888294275
6416,940,1211,5,883694852
30295,872,776,3,880335511
41111,376,1013,2,892329532
77260,415,1191,4,891651170
15614,688,1696,3,892067002
78617,88,1685,4,876335198
45076,345,947,3,888228785
5856,703,1584,4,875322430
20203,620,655,3,885847969
20559,522,1650,3,889764679
56296,486,1489,3,876435405
75302,106,1401,3,880264370
72878,349,1017,3,880494266
42119,961,1406,4,891768779
7173,987,1576,5,884906833
71514,521,1343,4,889493968
10331,941,1560,1,888574615
55298,378,626,2,883039355
78273,162,1672,4,887433879
62842,313,805,4,885020501
82662,502,1600,3,882323461
6782,980,1631,1,880037149
81517,318,1542,2,888890430
52310,222,1461,4,891094473
73242,607,1217,4,889922710
69856,172,1640,4,891748337
32365,591,1602,5,881475987
49822,251,1446,2,881970844
51705,533,1676,4,879900666
36124,394,1412,4,878010101
27015,595,993,1,885917479
35918,720,1173,5,892068938
39011,901,1527,4,886048232
10901,646,1642,3,891586526
5627,958,1618,4,881475619
30465,594,740,2,880161546
64087,179,1273,5,875161819
39237,601,1539,3,882712604
37974,584,1381,5,893581614
25501,958,1539,4,881476399
49592,306,1526,5,876095231
83032,175,1505,5,881469713
79261,345,1657,3,888842626
78789,306,1562,3,876098252
50525,318,1130,2,888886118
85393,58,1384,4,891650788
60161,243,1544,3,888813721
56959,979,1440,2,875319142
26935,500,1617,4,888906520
13669,565,1401,4,884498841
20053,744,591,4,882533037
18286,588,1174,4,880085742
17548,936,1295,3,890107458
49676,924,1430,3,879485772
46493,476,1142,4,885002703
39951,458,1508,5,886901591
55644,688,1090,5,892067091
3085,790,1540,4,888105380
10854,799,926,1,884482883
33274,575,1395,3,890714581
7394,893,1360,5,891632526
8031,737,1575,4,891667743
84834,464,1699,5,882686564
15978,955,1592,4,881382790
18736,724,1304,4,875160288
9114,767,1424,5,878033494
71455,301,1081,2,887871460
83920,231,1699,4,885791890
81954,990,1547,4,878254892
5001,672,1369,4,885413255
44781,505,1689,5,889002706
28701,443,1406,3,880853099
56891,500,1400,4,884232919
56240,630,1507,4,879803338
80188,273,1316,2,884080974
30020,790,1399,4,888099605
33295,454,840,4,885509609
56039,714,1422,5,876889870
72489,229,808,5,887008776
33033,620,1275,4,885847333
81233,97,1648,3,891834721
19425,547,1693,5,877930305
18374,583,1008,4,880016302
24934,781,686,3,892407781
38954,543,1689,4,882765190
48702,439,1652,4,886175717
7183,719,823,4,881568813
37891,987,1033,1,882765210
47048,464,1281,3,882729163
64418,165,1173,4,891401218
18862,551,1407,4,880326973
61933,588,1343,4,880085718
25160,751,1636,5,879940380
58654,170,1601,3,891929644
51315,541,1451,2,879931030
12372,656,1040,3,885269405
68935,789,1172,4,879827973
35153,805,1316,2,875193996
25868,910,1682,3,891751857
62123,154,1636,4,884316391
52183,339,1053,4,876381526
51703,787,1118,4,879323612
33987,709,1615,2,875245869
59141,802,1253,4,884577358
48371,537,1579,3,877753967
